kind,feature,n,n_mutated,or,or_lo,or_hi,coef,se,p,note,q_bh
gene,TP53,1234,570,1.4435858259387675,1.1350936644322989,1.8359190101669423,0.36713017518659524,0.122660716290422,0.002762006706421693,,0.02762006706421693
gene,PIK3CA,1234,353,0.9923066700137332,0.7611756619126508,1.29362061430012,-0.007723076313159523,0.1352898168740319,0.9544771488996898,,0.9544771488996898
gene,GATA3,1234,174,0.7384275936599428,0.514908694600357,1.0589747595962142,-0.3032322269630848,0.18394564240385153,0.09925252344223065,,0.4962626172111532
gene,CDH1,1234,122,0.84729981378026,0.5611885922133035,1.2792793445793857,-0.16570067555791518,0.21020284841392345,0.4305274512078352,,0.6309732180668098
gene,PTEN,1234,73,1.1968230042321302,0.7297173873166183,1.9629315792056377,0.17967054950398953,0.25243291324701506,0.47661610706263713,,0.6309732180668098
gene,NF1,1234,63,1.4355692219679639,0.8538186935579021,2.4136962643368824,0.3615614409196461,0.2651009445295986,0.1726106029475677,,0.5753686764918924
gene,ARID1A,1234,84,0.846612466124661,0.5190158185080178,1.380984244098926,-0.16651222607499652,0.249647291522897,0.5047785744534479,,0.6309732180668098
gene,KMT2D,1234,78,0.9479072568503468,0.5769579793136635,1.5573546077972933,-0.05349861183945217,0.2533098109350518,0.8327325052147896,,0.925258339127544
gene,BRCA2,1234,66,1.2373209446380171,0.7382062216097652,2.073896257202261,0.21294851379032423,0.26351049700539614,0.4190206075946863,,0.6309732180668098
gene,KMT2C,1234,61,1.3135846372688473,0.7714465352664523,2.236713136151103,0.27275976451125505,0.27155493561783295,0.3151681303918642,,0.6309732180668098
pathway,pathway_RTK/RAS,1234,696,1.5003694581280795,1.173606182101683,1.918112349112104,0.4057113831986843,0.1253215141461492,0.0012063934222974965,,0.012063934222974965
pathway,pathway_Nrf2,1234,35,0.9802574171029669,0.47527528290749654,2.0217853491287117,-0.01994007129614729,0.3693474635501865,0.9569452848235062,,0.9569452848235062
pathway,pathway_PI3K,1234,617,1.0074951409135084,0.7929004692019584,1.280168821171159,0.007467191912438813,0.12220651472557684,0.9512771327605882,,0.9569452848235062
pathway,pathway_TGFB,1234,33,1.5981113734203578,0.7928064938948892,3.2214165518605204,0.4688225404225715,0.357652370068403,0.1899141802265274,,0.316523633710879
pathway,pathway_p53,1234,709,1.4549720432073387,1.1373496826945069,1.8612953243189596,0.37498668614837016,0.1256561072037494,0.002842932691323975,,0.014214663456619875
pathway,pathway_Wnt,1234,103,1.5300546448087426,1.012692676183291,2.3117252362523146,0.4253034503278283,0.21055645457579494,0.04339353083276249,,0.12335917599388148
pathway,pathway_Myc,1234,187,1.1038856304985334,0.7935404324967793,1.5356035248097963,0.09883634692558996,0.16841180235310463,0.5572889756148365,,0.796127108021195
pathway,pathway_Cell cycle,1234,423,1.284312395423506,1.000714420287559,1.6482807638211974,0.2502234742918986,0.12730066789848596,0.049343670397552594,,0.12335917599388148
pathway,pathway_Hippo,1234,84,0.9564032697547689,0.5924473190190963,1.5439469215795867,-0.044575624588703996,0.24434576448218615,0.8552464828370678,,0.9569452848235062
pathway,pathway_Notch,1234,245,1.314595975726606,0.9808876231466097,1.761835442323942,0.2735293756275353,0.14940140559868254,0.06712512136925443,,0.13425024273850886
