feature,or,or_lo,or_hi,coef,se,p
TP53,1.2114328492831778,0.8092049515116433,1.8135943750478183,0.19180383199016987,0.2058708605492974,0.351506775205372
pathway_RTK/RAS,1.363925626019921,1.0567417855580155,1.7604046123069705,0.3103670315562964,0.13019216552478005,0.01712956720786627
pathway_p53,1.108231446856983,0.7295525309664481,1.6834660804695438,0.10276545356626765,0.21331089674923834,0.6299737966304106
pathway_Wnt,1.4148191111875505,0.9313240288945445,2.149319737575662,0.3470016863068322,0.21334168604068504,0.1038419046765574
pathway_Cell cycle,1.1956471199266583,0.9234900755687683,1.5480101770540995,0.17868756176401096,0.1317769325031976,0.17510389737223608
